Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
"R$ 394.000
                    



                  Condomínio:
                  
                      R$ 275",Caraguatatuba,Recando Som do Mar,Rua Doutor Walter Raucci,227,"2
              

                Quartos","2
              

                Banheiros","74
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 74m²"
"R$ 320.000
                    



                  Condomínio:
                  
                      R$ 340",Caraguatatuba,Martim de Sa,Rua Itapoan,687,"1
              

                Quarto","1
              

                Banheiro","50
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 50m²"
"R$ 480.000
                    



                  Condomínio:
                  
                      R$ 400",Caraguatatuba,Pontal de Santa Marina,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 90m²"
"R$ 650.000
                    



                  Condomínio:
                  
                      R$ 600",Caraguatatuba,Martim de Sa,Avenida Doutor Aldino Schiavi,123,"2
              

                Quartos","2
              

                Banheiros","79
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 79m²"
"R$ 1.190.000
                    



                  Condomínio:
                  
                      R$ 918",Caraguatatuba,Massaguaçu,Avenida João Gonçalves Santana,2,"3
              

                Quartos","2
              

                Banheiros","146
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 146m²"
R$ 225.000,Caraguatatuba,Travessão,Rua Bartolomeu Lourenço Gusmão,100,"--
              

                Quarto","--
              

                Banheiro","0
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 0m²"
R$ 380.000,Caraguatatuba,Morro Do Algodao,Rua José de Jesus,N/I,"2
              

                Quartos","1
              

                Banheiro","300
              

                m²","4
                

                  Vagas","Casa com 2 Quartos à Venda, 300m²"
R$ 350.000,Caraguatatuba,Martim de Sa,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","48
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 48m²"
R$ 399.900,Caraguatatuba,Massaguaçu,Avenida Massaguaçu,15,"2
              

                Quartos","1
              

                Banheiro","75
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 75m²"
R$ 530.000,Caraguatatuba,Jardim Jaqueira,Rua Antônio Valente,105,"5
              

                Quartos","4
              

                Banheiros","173
              

                m²","2
                

                  Vagas","Casa com 5 Quartos à Venda, 173m²"
R$ 820.000,Caraguatatuba,Sumaré,Rua Monsenhor Ascânio Brandão,420,"3
              

                Quartos","2
              

                Banheiros","181
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 181m²"
"R$ 1.200.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 880",Caraguatatuba,Aruan,Avenida Prefeito Geraldo Nogueira da Silva,N/I,"3
              

                Quartos","2
              

                Banheiros","136
              

                m²","2
                

                  Vagas","Apartamento com 3 Quartos à Venda, 136m²"
R$ 460.000,Caraguatatuba,Prainha,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","77
              

                m²","--
                

                  Vaga","Apartamento com 2 Quartos à Venda, 77m²"
R$ 295.000,Caraguatatuba,Massaguaçu,N/I,N/I,"--
              

                Quarto","--
              

                Banheiro","384
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 384m²"
"R$ 450.000
                    



                  Condomínio:
                  
                      R$ 468",Caraguatatuba,Martim de Sa,Rua Bragança Paulista,N/I,"2
              

                Quartos","1
              

                Banheiro","96
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 96m²"
R$ 1.700.000,Caraguatatuba,Centro,Rua Laércio Luiz dos Santos,N/I,"4
              

                Quartos","5
              

                Banheiros","414
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 414m²"
R$ 725.000,Caraguatatuba,Massaguaçu,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","80
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 80m²"
R$ 480.000,Caraguatatuba,Massaguaçu,Rua Dom Francisco de Souza,67,"2
              

                Quartos","2
              

                Banheiros","120
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 120m²"
R$ 750.000,Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","161
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 161m²"
